year,commodity,port,value,type,unit,quantity,path_id,origin,destination,dest_lat,dest_lang,origin_lat,origin_lang
1672,Broadcloth,N/A,49876,export,cloths,3424,2,N/A,London,0,0,51.5072,-0.1276
1672,Treasure,N/A,181567,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1672,New Draparies,N/A,8922,export,N/A,1735,2,N/A,London,0,0,51.5072,-0.1276
1672,Lead,N/A,11482,export,cwts,15201,2,N/A,London,0,0,51.5072,-0.1276
1672,Coffee,Mocha,4179,import,cwts,1101,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1672,Indigo,N/A,16014,import,lb,147917,8,London,N/A,51.5072,-0.1276,0,0
1672,Black Pepper,Bombay,5991,import,lb,465352,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1672,Black Pepper,South East Asia,75678,import,lb,7120882,5,South East Asia,London,-2.218,115.6628,51.5072,-0.1276
1672,Saltpetre,Bengal,6611,import,lb,11776,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1672,Raw Silk,Bengal,4587,import,lb,14273,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1672,Textiles,Bombay,44146,import,pieces,256241,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1672,Textiles,Madras,108810,import,pieces,232805,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1672,Textiles,Bengal,43177,import,pieces,68132,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1673,Broadcloth,N/A,25082,export,cloths,1791,2,N/A,London,0,0,51.5072,-0.1276
1673,Treasure,N/A,131295,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1673,New Draparies,N/A,4614,export,N/A,584,2,N/A,London,0,0,51.5072,-0.1276
1673,Coffee,Mocha,3537,import,cwts,860,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1673,Indigo,N/A,12395,import,lb,107040,8,London,N/A,51.5072,-0.1276,0,0
1673,Black Pepper,Bombay,14078,import,lb,844687,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1673,Saltpetre,Bengal,8665,import,lb,17365,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1673,Raw Silk,Bengal,7275,import,lb,21874,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1673,Tea,China,50,import,lb,44,6,China,London,35.8617,104.1954,51.5072,-0.1276
1673,Textiles,Bombay,60682,import,pieces,327828,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1673,Textiles,Madras,85204,import,pieces,183774,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1673,Textiles,Bengal,50948,import,pieces,98108,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1674,Broadcloth,N/A,18184,export,cloths,1253,2,N/A,London,0,0,51.5072,-0.1276
1674,Treasure,N/A,155476,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1674,New Draparies,N/A,912,export,N/A,133,2,N/A,London,0,0,51.5072,-0.1276
1674,Lead,N/A,2893,export,cwts,8859,2,N/A,London,0,0,51.5072,-0.1276
1674,Coffee,Mocha,3994,import,cwts,954,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1674,Indigo,N/A,9344,import,lb,86617,8,London,N/A,51.5072,-0.1276,0,0
1674,Black Pepper,Bombay,20935,import,lb,1347384,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1674,Saltpetre,Bengal,1938,import,lb,3163,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1674,Raw Silk,Bengal,716,import,lb,2067,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1674,Textiles,Bombay,49450,import,pieces,272323,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1674,Textiles,Madras,70432,import,pieces,159515,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1674,Textiles,Bengal,508,import,pieces,800,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1675,Broadcloth,N/A,37933,export,cloths,2592,2,N/A,London,0,0,51.5072,-0.1276
1675,Treasure,N/A,299012,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1675,New Draparies,N/A,2558,export,N/A,305,2,N/A,London,0,0,51.5072,-0.1276
1675,Lead,N/A,5405,export,cwts,6901,2,N/A,London,0,0,51.5072,-0.1276
1675,Coffee,Mocha,749,import,cwts,150,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1675,Indigo,N/A,7364,import,lb,55451,8,London,N/A,51.5072,-0.1276,0,0
1675,Black Pepper,Bombay,5407,import,lb,426054,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1675,Black Pepper,South East Asia,43083,import,lb,4011170,5,South East Asia,London,-2.218,115.6628,51.5072,-0.1276
1675,Saltpetre,Bengal,6410,import,lb,15863,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1675,Raw Silk,Bengal,1081,import,lb,2395,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1675,Raw Silk,China,807,import,lb,1421,6,China,London,35.8617,104.1954,51.5072,-0.1276
1675,Textiles,Bombay,16581,import,pieces,85668,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1675,Textiles,Madras,58568,import,pieces,118365,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1675,Textiles,Bengal,22241,import,pieces,44005,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1676,Broadcloth,N/A,48953,export,cloths,3157,2,N/A,London,0,0,51.5072,-0.1276
1676,Treasure,N/A,292327,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1676,New Draparies,N/A,3722,export,N/A,615,2,N/A,London,0,0,51.5072,-0.1276
1676,Lead,N/A,10226,export,cwts,13628,2,N/A,London,0,0,51.5072,-0.1276
1676,Coffee,Mocha,1383,import,cwts,326,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1676,Indigo,N/A,17745,import,lb,189784,8,London,N/A,51.5072,-0.1276,0,0
1676,Black Pepper,Bombay,20262,import,lb,1554047,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1676,Black Pepper,South East Asia,32157,import,lb,3003059,5,South East Asia,London,-2.218,115.6628,51.5072,-0.1276
1676,Saltpetre,Bengal,8344,import,lb,14535,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1676,Raw Silk,Bengal,12137,import,lb,31570,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1676,Raw Silk,China,439,import,lb,812,6,China,London,35.8617,104.1954,51.5072,-0.1276
1676,Textiles,Bombay,90186,import,pieces,387645,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1676,Textiles,Madras,87112,import,pieces,205396,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1676,Textiles,Bengal,36488,import,pieces,80684,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1677,Broadcloth,N/A,41764,export,cloths,2785,2,N/A,London,0,0,51.5072,-0.1276
1677,Treasure,N/A,221278,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1677,New Draparies,N/A,4320,export,N/A,610,2,N/A,London,0,0,51.5072,-0.1276
1677,Lead,N/A,4969,export,cwts,6626,2,N/A,London,0,0,51.5072,-0.1276
1677,Coffee,Mocha,3656,import,cwts,957,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1677,Indigo,N/A,10037,import,lb,101178,8,London,N/A,51.5072,-0.1276,0,0
1677,Black Pepper,Bombay,15148,import,lb,1096828,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1677,Black Pepper,South East Asia,74926,import,lb,7030937,5,South East Asia,London,-2.218,115.6628,51.5072,-0.1276
1677,Saltpetre,Bengal,8796,import,lb,12387,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1677,Raw Silk,Bengal,0,import,lb,0,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1677,Textiles,Bombay,67141,import,pieces,281576,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1677,Textiles,Madras,80376,import,pieces,161704,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1677,Textiles,Bengal,42292,import,pieces,75359,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1677,Silk pieces,China,8164,import,pieces,19042,6,China,London,35.8617,104.1954,51.5072,-0.1276
1678,Broadcloth,N/A,47424,export,cloths,2979,2,N/A,London,0,0,51.5072,-0.1276
1678,Treasure,N/A,325932,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1678,New Draparies,N/A,3651,export,N/A,675,2,N/A,London,0,0,51.5072,-0.1276
1678,Lead,N/A,7175,export,cwts,9654,2,N/A,London,0,0,51.5072,-0.1276
1678,Coffee,Mocha,1654,import,cwts,402,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1678,Indigo,N/A,10479,import,lb,106252,8,London,N/A,51.5072,-0.1276,0,0
1678,Black Pepper,Bombay,9898,import,lb,643023,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1678,Black Pepper,South East Asia,38923,import,lb,3734056,5,South East Asia,London,-2.218,115.6628,51.5072,-0.1276
1678,Saltpetre,Bengal,6778,import,lb,11580,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1678,Raw Silk,Bengal,14949,import,lb,41833,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1678,Raw Silk,China,1353,import,lb,2020,6,China,London,35.8617,104.1954,51.5072,-0.1276
1678,Tea,China,207,import,lb,4713,6,China,London,35.8617,104.1954,51.5072,-0.1276
1678,Textiles,Bombay,77648,import,pieces,386591,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1678,Textiles,Madras,109685,import,pieces,203392,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1678,Textiles,Bengal,32489,import,pieces,57174,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1678,Silk pieces,China,8329,import,pieces,14760,6,China,London,35.8617,104.1954,51.5072,-0.1276
1679,Broadcloth,N/A,18955,export,cloths,1423,2,N/A,London,0,0,51.5072,-0.1276
1679,Treasure,N/A,340819,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1679,New Draparies,N/A,2899,export,N/A,445,2,N/A,London,0,0,51.5072,-0.1276
1679,Lead,N/A,3596,export,cwts,5138,2,N/A,London,0,0,51.5072,-0.1276
1679,Coffee,Mocha,3276,import,cwts,787,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1679,Indigo,N/A,3513,import,lb,49674,8,London,N/A,51.5072,-0.1276,0,0
1679,Black Pepper,Bombay,285,import,lb,22881,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1679,Black Pepper,South East Asia,27190,import,lb,2760146,5,South East Asia,London,-2.218,115.6628,51.5072,-0.1276
1679,Saltpetre,Bengal,11608,import,lb,16886,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1679,Raw Silk,Bengal,27009,import,lb,70680,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1679,Tea,China,36,import,lb,340,6,China,London,35.8617,104.1954,51.5072,-0.1276
1679,Textiles,Bombay,82303,import,pieces,405918,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1679,Textiles,Madras,145481,import,pieces,277656,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1679,Textiles,Bengal,39265,import,pieces,76597,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1679,Silk pieces,China,8343,import,pieces,12789,6,China,London,35.8617,104.1954,51.5072,-0.1276
1680,Broadcloth,N/A,28099,export,cloths,2158,2,N/A,London,0,0,51.5072,-0.1276
1680,Treasure,N/A,394464,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1680,New Draparies,N/A,4634,export,N/A,502,2,N/A,London,0,0,51.5072,-0.1276
1680,Lead,N/A,4664,export,cwts,6282,2,N/A,London,0,0,51.5072,-0.1276
1680,Coffee,Mocha,4735,import,cwts,1155,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1680,Indigo,N/A,2761,import,lb,40558,8,London,N/A,51.5072,-0.1276,0,0
1680,Black Pepper,Bombay,5717,import,lb,328835,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1680,Black Pepper,South East Asia,28835,import,lb,2702546,5,South East Asia,London,-2.218,115.6628,51.5072,-0.1276
1680,Saltpetre,Bengal,3500,import,lb,6434,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1680,Raw Silk,Bengal,18991,import,lb,52725,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1680,Textiles,Bombay,86507,import,pieces,411487,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1680,Textiles,Madras,131532,import,pieces,253117,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1680,Textiles,Bengal,46767,import,pieces,67904,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1680,Silk pieces,China,13899,import,pieces,21592,6,China,London,35.8617,104.1954,51.5072,-0.1276
1681,Broadcloth,N/A,44361,export,cloths,3165,2,N/A,London,0,0,51.5072,-0.1276
1681,Treasure,N/A,536798,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1681,New Draparies,N/A,7994,export,N/A,910,2,N/A,London,0,0,51.5072,-0.1276
1681,Lead,N/A,3029,export,cwts,4248,2,N/A,London,0,0,51.5072,-0.1276
1681,Coffee,Mocha,3873,import,cwts,969,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1681,Indigo,N/A,7563,import,lb,96045,8,London,N/A,51.5072,-0.1276,0,0
1681,Black Pepper,Bombay,13273,import,lb,870227,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1681,Black Pepper,South East Asia,46538,import,lb,4239118,5,South East Asia,London,-2.218,115.6628,51.5072,-0.1276
1681,Saltpetre,Bengal,8993,import,lb,18937,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1681,Raw Silk,Bengal,49313,import,lb,124335,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1681,Textiles,Bombay,82457,import,pieces,324220,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1681,Textiles,Madras,125816,import,pieces,278962,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1681,Textiles,Bengal,37789,import,pieces,73174,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1681,Silk pieces,China,4751,import,pieces,8500,6,China,London,35.8617,104.1954,51.5072,-0.1276
1682,Broadcloth,N/A,65820,export,cloths,4696,2,N/A,London,0,0,51.5072,-0.1276
1682,Treasure,N/A,609162,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1682,New Draparies,N/A,15930,export,N/A,1873,2,N/A,London,0,0,51.5072,-0.1276
1682,Lead,N/A,3194,export,cwts,4300,2,N/A,London,0,0,51.5072,-0.1276
1682,Coffee,Mocha,4733,import,cwts,1131,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1682,Indigo,N/A,8292,import,lb,84772,8,London,N/A,51.5072,-0.1276,0,0
1682,Black Pepper,Bombay,17226,import,lb,1386736,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1682,Black Pepper,South East Asia,10049,import,lb,915272,5,South East Asia,London,-2.218,115.6628,51.5072,-0.1276
1682,Saltpetre,Bengal,7383,import,lb,18869,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1682,Raw Silk,Bengal,9734,import,lb,24320,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1682,Raw Silk,China,6529,import,lb,16708,6,China,London,35.8617,104.1954,51.5072,-0.1276
1682,Tea,China,13,import,lb,7,6,China,London,35.8617,104.1954,51.5072,-0.1276
1682,Textiles,Bombay,83396,import,pieces,300968,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1682,Textiles,Madras,151860,import,pieces,304242,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
1682,Textiles,Bengal,80639,import,pieces,164479,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1683,Broadcloth,N/A,34764,export,cloths,2236,2,N/A,London,0,0,51.5072,-0.1276
1683,Treasure,N/A,524928,export,N/A,N/A,2,N/A,London,0,0,51.5072,-0.1276
1683,New Draparies,N/A,3691,export,N/A,738,2,N/A,London,0,0,51.5072,-0.1276
1683,Lead,N/A,5798,export,cwts,7719,2,N/A,London,0,0,51.5072,-0.1276
1683,Coffee,Mocha,7510,import,cwts,1685,3,Mocha,London,13.3203,43.2473,51.5072,-0.1276
1683,Indigo,N/A,8331,import,lb,110243,8,London,N/A,51.5072,-0.1276,0,0
1683,Black Pepper,Bombay,17819,import,lb,1279818,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1683,Saltpetre,Bengal,7510,import,lb,20839,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1683,Raw Silk,Bengal,76130,import,lb,172859,1,Bengal,London,22.5726,88.3639,51.5072,-0.1276
1683,Textiles,Bombay,118126,import,pieces,423759,4,Bombay,London,19.076,72.8777,51.5072,-0.1276
1683,Textiles,Madras,205261,import,pieces,430506,7,Madras,London,13.0827,80.2707,51.5072,-0.1276
